order,seasonal_order,log_likelihood,AIC,BIC,converged,error
"(1, 0, 1)","(1, 0, 1, 7)",-24350.70343922609,48713.40687845218,48748.46526255233,True,
"(1, 0, 1)","(1, 0, 0, 7)",-24360.800299795308,48731.600599590616,48760.8178816125,True,
"(0, 1, 2)","(0, 0, 1, 7)",-24361.12878668683,48732.25757337366,48761.46896726925,True,
"(0, 0, 0)","(1, 1, 0, 7)",-24368.390427054717,48742.780854109435,48760.3041534057,True,
"(1, 0, 0)","(0, 0, 1, 7)",-24404.733427920935,48817.46685584187,48840.840681459376,True,
"(2, 0, 0)","(1, 0, 1, 7)",-24408.52400196969,48829.04800393938,48864.10638803953,True,
"(2, 0, 0)","(1, 0, 0, 7)",-24434.503910628875,48879.00782125775,48908.22314134121,True,
"(1, 0, 0)","(1, 0, 1, 7)",-24435.356713893354,48880.71342778671,48909.93070980859,True,
"(1, 0, 0)","(1, 0, 0, 7)",-24456.22246614611,48920.44493229222,48943.81875790973,True,
"(2, 0, 2)","(0, 0, 1, 7)",-24461.343534671745,48936.68706934349,48977.585769668345,True,
"(0, 0, 2)","(1, 0, 1, 7)",-24469.903133572294,48951.80626714459,48986.86229599446,True,
"(1, 0, 2)","(0, 0, 1, 7)",-24482.472638166648,48976.945276333296,49012.00130518317,True,
"(2, 1, 1)","(0, 0, 1, 7)",-24505.52153259777,49023.04306519554,49058.099094045414,True,
"(0, 0, 0)","(1, 0, 0, 7)",-24513.44371289815,49032.8874257963,49050.41897171076,True,
"(0, 0, 0)","(0, 1, 0, 7)",-24570.818210492253,49145.636420984505,49157.323333793254,True,
"(2, 0, 1)","(0, 0, 1, 7)",-24578.254565958036,49168.50913191607,49203.56751601622,True,
"(1, 0, 1)","(0, 0, 1, 7)",-24610.48616656812,49230.97233313624,49260.1876532197,True,
"(2, 0, 0)","(0, 0, 1, 7)",-24618.51806831979,49247.03613663958,49276.253418661465,True,
"(1, 1, 1)","(0, 0, 1, 7)",-24618.707920413544,49247.41584082709,49276.62919820198,True,
"(2, 1, 0)","(0, 0, 1, 7)",-24650.61653209509,49311.23306419018,49340.44838427364,True,
"(0, 1, 1)","(0, 0, 1, 7)",-24753.576041014785,49515.15208202957,49538.52276792949,True,
"(1, 1, 0)","(0, 0, 1, 7)",-24765.591704927945,49539.18340985589,49562.55566592266,True,
"(0, 1, 0)","(0, 0, 1, 7)",-24766.67110969159,49539.34221938318,49556.871411433254,True,
"(2, 1, 2)","(0, 0, 0, 7)",-24969.409040511375,49950.81808102275,49985.8882275262,True,
"(0, 1, 2)","(0, 0, 0, 7)",-24988.10723956678,49984.21447913356,50007.59457680253,True,
"(2, 1, 1)","(0, 0, 0, 7)",-24988.88573686831,49987.77147373662,50016.998553919584,True,
"(1, 1, 2)","(0, 0, 0, 7)",-25002.49067027773,50014.98134055546,50044.20646264167,True,
"(2, 0, 2)","(0, 0, 0, 7)",-25087.487115544394,50186.97423108879,50222.04672730834,True,
"(2, 0, 1)","(1, 0, 1, 7)",-25129.899094601882,50273.798189203764,50314.699637320606,True,
"(1, 0, 2)","(0, 0, 0, 7)",-25136.929062606556,50283.85812521311,50313.08520539608,True,
"(1, 1, 1)","(0, 0, 0, 7)",-25145.90735230352,50299.81470460704,50323.19636875341,True,
"(2, 1, 0)","(0, 0, 0, 7)",-25291.708663761085,50591.41732752217,50614.79899166854,True,
"(1, 0, 1)","(0, 0, 0, 7)",-25293.30967294737,50594.61934589474,50618.00257590529,True,
"(2, 0, 0)","(0, 0, 0, 7)",-25298.80351460355,50605.6070292071,50628.99025921765,True,
"(2, 0, 1)","(0, 0, 0, 7)",-25309.85261232627,50629.70522465254,50658.934262165734,True,
"(1, 0, 0)","(0, 0, 0, 7)",-25319.708242309673,50645.416484619345,50662.95508106584,True,
"(0, 0, 2)","(0, 0, 1, 7)",-25379.015879862774,50768.03175972555,50797.24511710044,True,
"(0, 1, 1)","(0, 0, 0, 7)",-25434.324263065282,50874.648526130564,50892.18477424034,True,
"(0, 1, 0)","(0, 0, 0, 7)",-25445.613629235835,50895.22725847167,50906.91887347695,True,
"(1, 1, 0)","(0, 0, 0, 7)",-25445.08985405029,50896.17970810058,50913.71713060849,True,
"(0, 0, 1)","(1, 0, 1, 7)",-25469.365819850675,50948.73163970135,50977.94695978481,True,
"(0, 0, 1)","(0, 0, 1, 7)",-25471.185160821595,50950.37032164319,50973.742577709956,True,
"(0, 0, 2)","(1, 0, 0, 7)",-25633.83277768764,51277.66555537528,51306.88479856604,True,
"(0, 0, 2)","(0, 0, 0, 7)",-25686.479776000746,51380.95955200149,51404.34121614786,True,
"(0, 0, 1)","(0, 0, 0, 7)",-25843.94144347663,51693.88288695326,51711.42030946117,True,
"(0, 0, 0)","(1, 0, 1, 7)",-25852.76751870673,51713.53503741346,51736.90886303096,True,
"(0, 0, 0)","(0, 0, 1, 7)",-25855.037659534843,51716.075319069685,51733.60568828281,True,
"(0, 0, 1)","(1, 0, 0, 7)",-25896.624242818332,51801.248485636665,51824.623880189276,True,
"(0, 0, 0)","(0, 0, 0, 7)",-26610.459589039987,53224.919178079974,53236.611575710966,True,
