date,actual,Naive,Seasonal Naive,Best ARIMA,Best ARIMAX,Best SARIMA,Best GARMA,Best GARMAX,Best SARIMAX
2025-03-25,88209.23295834,71629.25720833,71629.25720833,79307.68624476249,82739.48600279952,77363.28469600836,72956.19349195444,83942.72725692239,77987.6843964452
2025-03-26,88150.25841666,71629.25720833,66416.57704167,79318.32187417524,82994.40708111443,77238.16275461808,72944.03424027984,84567.803948974,78181.27408019958
2025-03-27,87264.37241666,71629.25720833,75394.72508333,79328.95750358798,82876.88605004165,77650.43549216278,72781.66742162031,84753.31319929822,78120.02124209816
2025-03-28,87536.12904166,71629.25720833,77224.80237501,79339.59313300073,82312.34935602326,77076.0896198969,72594.97105969272,84508.9061734053,77559.55056631441
2025-03-29,81540.34554167,71629.25720833,74816.18320834,79350.22876241348,76650.65795611443,70794.10427868024,72530.16904756898,78371.49635184424,71274.27668046519
2025-03-30,75523.72933333,71629.25720833,70248.53175001,79360.86439182622,71035.80564776558,65217.69701070692,72608.39277275083,72185.41322992179,65157.38936169201
2025-03-31,87929.80875,71629.25720833,74499.63329166,79371.50002123897,80319.2633909366,75728.14430033999,72758.66488668886,83759.68081329684,75269.58222574096
2025-04-01,88032.184875,71629.25720833,71629.25720833,79382.13565065172,81867.92889569231,77291.64138610938,72893.82658871973,85529.02225226385,76542.83055973699
2025-04-02,88645.64995833,71629.25720833,66416.57704167,79392.77128006447,82415.27047682744,77166.55331654244,72924.52927902373,85898.08873615888,76782.59129932597
2025-04-03,89143.69195833,71629.25720833,75394.72508333,79403.40690947721,82285.07282894554,77578.85992589968,72821.58680724468,85791.11816064436,76703.13911979998
2025-04-04,86789.35979166,71629.25720833,77224.80237501,79414.04253888996,81708.47886035331,77004.54792545308,72663.28432036084,85225.69501298036,76125.01915488832
2025-04-05,75660.35725,71629.25720833,74816.18320834,79424.67816830271,76035.36141083937,70722.5964560569,72573.00661674465,78647.1734835528,69822.65452441988
2025-04-06,68183.81266666,71629.25720833,70248.53175001,79435.31379771545,70409.72505292186,65146.22305990816,72600.821053971,72159.8871165227,63689.24280955101
2025-04-07,79018.10400001,71629.25720833,74499.63329166,79445.9494271282,79941.36898834984,75656.70422137267,72712.28128942667,83625.44968576428,73949.7382189881
2025-04-08,81628.87395834,71629.25720833,71629.25720833,79456.58505654095,81450.50078037902,77220.23517897299,72837.50662295287,85554.10189041196,75420.38875979483
2025-04-09,83370.703375,71629.25720833,66416.57704167,79467.2206859537,81683.33429036026,77095.1809812338,72894.83394501556,85944.27039175993,75580.4528322675
2025-04-10,83420.07004167,71629.25720833,75394.72508333,79477.85631536644,81545.00594479805,77507.52146241753,72840.51718005813,85859.77025925652,75486.80596199584
